Entity,Position,Count
XHIGHEST,1,27
XSECOND,1,1
YHIGHEST,1,2
XLEAST,1,15
XTHIRD,1,1
XSECOND,2,9
YHIGHEST,2,14
XHIGHEST,2,8
XTHIRD,2,4
XLEAST,2,4
YLEAST,2,6
YTHIRD,2,1
YSECOND,3,2
XLEAST,3,2
XHIGHEST,3,4
XSECOND,3,14
XTHIRD,3,9
other,3,3
YHIGHEST,3,5
YLEAST,3,3
YTHIRD,3,1
XTHIRD,4,5
YLEAST,4,1
XHIGHEST,4,7
YSECOND,4,9
XSECOND,4,6
XLEAST,4,8
YHIGHEST,4,1
YTHIRD,4,5
YTHIRD,5,3
XTHIRD,5,11
YHIGHEST,5,3
XHIGHEST,5,3
YSECOND,5,6
XLEAST,5,6
YLEAST,5,4
other,5,2
XSECOND,5,2
XLEAST,6,1
other,6,3
YTHIRD,6,8
YHIGHEST,6,3
XTHIRD,6,4
XHIGHEST,6,4
XSECOND,6,5
YSECOND,6,1
YLEAST,6,4
YLEAST,7,1
XLEAST,7,9
XSECOND,7,4
YTHIRD,7,6
YHIGHEST,7,2
YSECOND,7,4
other,7,1
XHIGHEST,7,3
XHIGHEST,8,3
YTHIRD,8,2
YLEAST,8,6
YSECOND,8,3
XLEAST,8,6
XSECOND,8,1
XTHIRD,8,3
other,8,1
YHIGHEST,8,5
YHIGHEST,9,2
XSECOND,9,2
XTHIRD,9,2
YLEAST,9,6
YSECOND,9,2
XLEAST,9,3
YTHIRD,9,1
other,9,2
other,10,3
YTHIRD,10,1
XTHIRD,10,2
YLEAST,10,3
XSECOND,10,2
YSECOND,10,1
XTHIRD,11,2
XLEAST,11,2
YTHIRD,11,2
YHIGHEST,11,1
YSECOND,12,1
YLEAST,12,1
XLEAST,12,1
YTHIRD,12,1
XHIGHEST,12,1
YLEAST,13,1
