Entity,Position,Count
XSECOND,1,6
other,1,3
XLEAST,1,22
XHIGHEST,1,33
XFOURTH,1,1
YLEAST,1,3
YHIGHEST,1,1
XFOURTH,2,3
other,2,3
YLEAST,2,19
XSECOND,2,6
YHIGHEST,2,27
XLEAST,2,4
YSECOND,2,2
XHIGHEST,2,5
XLEAST,3,6
XHIGHEST,3,11
XFOURTH,3,14
XTHIRD,3,4
other,3,2
XSECOND,3,20
YSECOND,3,5
YFOURTH,3,1
YHIGHEST,3,3
XHIGHEST,4,3
YHIGHEST,4,11
YFOURTH,4,11
XFOURTH,4,4
YLEAST,4,4
other,4,2
XLEAST,4,1
YSECOND,4,21
YTHIRD,4,2
XTHIRD,4,5
XSECOND,4,1
XTHIRD,5,30
XSECOND,5,10
XLEAST,5,4
XHIGHEST,5,2
XFOURTH,5,4
other,5,3
YHIGHEST,5,1
YLEAST,5,2
YFOURTH,5,1
YTHIRD,5,2
other,6,3
XTHIRD,6,4
YTHIRD,6,27
YSECOND,6,6
YHIGHEST,6,2
XSECOND,6,4
YLEAST,6,2
XHIGHEST,6,1
XFOURTH,6,3
YFOURTH,6,1
XLEAST,6,2
other,7,4
XSECOND,7,7
XTHIRD,7,6
XFOURTH,7,15
XHIGHEST,7,4
YTHIRD,7,2
YHIGHEST,7,1
YFOURTH,7,4
YSECOND,7,3
XLEAST,7,1
YLEAST,7,1
XHIGHEST,8,2
YSECOND,8,7
YTHIRD,8,5
YFOURTH,8,16
other,8,2
YHIGHEST,8,4
XLEAST,8,5
XSECOND,8,2
XTHIRD,8,1
XFOURTH,8,2
YLEAST,8,1
YHIGHEST,9,3
XHIGHEST,9,6
YLEAST,9,6
XLEAST,9,13
YSECOND,9,3
XTHIRD,9,3
YTHIRD,9,2
XSECOND,9,1
XFOURTH,9,4
YFOURTH,9,2
YHIGHEST,10,6
XLEAST,10,2
YLEAST,10,13
YTHIRD,10,4
YSECOND,10,1
XHIGHEST,10,2
XFOURTH,10,1
YFOURTH,10,4
XTHIRD,10,1
YHIGHEST,11,1
YFOURTH,11,1
XLEAST,11,1
YTHIRD,11,1
other,12,1
YLEAST,13,1
