Entity,Position,Count
XHIGHEST,1,46
XSECOND,1,6
other,1,4
XLEAST,1,9
YLEAST,1,3
XFOURTH,1,1
YHIGHEST,2,43
YSECOND,2,1
XSECOND,2,4
other,2,4
XTHIRD,2,1
YLEAST,2,9
XHIGHEST,2,5
XLEAST,2,2
XSECOND,3,31
XFOURTH,3,6
YHIGHEST,3,2
other,3,4
XTHIRD,3,2
XHIGHEST,3,7
XLEAST,3,11
YLEAST,3,3
YSECOND,3,1
XTHIRD,4,3
YSECOND,4,29
YFOURTH,4,4
XFOURTH,4,3
XSECOND,4,1
YTHIRD,4,1
XLEAST,4,4
YHIGHEST,4,9
YLEAST,4,8
other,4,2
XHIGHEST,4,1
other,5,4
XTHIRD,5,28
XFOURTH,5,6
XLEAST,5,8
YSECOND,5,1
XSECOND,5,9
YHIGHEST,5,1
XHIGHEST,5,2
YFOURTH,5,1
YLEAST,5,2
XTHIRD,6,6
YTHIRD,6,24
XLEAST,6,3
other,6,4
YSECOND,6,7
YLEAST,6,5
XHIGHEST,6,4
YHIGHEST,6,2
XFOURTH,6,2
YFOURTH,6,2
other,7,11
YFOURTH,7,2
XFOURTH,7,19
YTHIRD,7,4
YHIGHEST,7,3
XTHIRD,7,7
YSECOND,7,2
XSECOND,7,2
YLEAST,7,1
other,8,9
YLEAST,8,2
XHIGHEST,8,2
YFOURTH,8,14
XLEAST,8,4
YTHIRD,8,7
XTHIRD,8,3
YSECOND,8,2
XSECOND,8,3
XFOURTH,8,2
XTHIRD,9,2
YHIGHEST,9,1
XLEAST,9,14
YLEAST,9,1
XFOURTH,9,4
YTHIRD,9,2
YFOURTH,9,4
XHIGHEST,9,2
YSECOND,9,3
XSECOND,9,2
YTHIRD,10,4
XTHIRD,10,2
YLEAST,10,14
YFOURTH,10,5
YHIGHEST,10,2
XHIGHEST,10,2
XSECOND,10,1
YSECOND,10,2
XLEAST,10,1
YTHIRD,11,2
other,11,1
YHIGHEST,11,2
YSECOND,11,1
YLEAST,11,2
XLEAST,11,1
XSECOND,11,1
XHIGHEST,12,1
XTHIRD,12,1
XFOURTH,12,1
YSECOND,12,1
YHIGHEST,13,1
YTHIRD,13,1
YFOURTH,13,1
XHIGHEST,14,1
XLEAST,14,1
YHIGHEST,15,1
YLEAST,15,1
