Entity,Position,Count
YHIGHEST,1,3
YLEAST,1,6
YFIFTH,1,1
XHIGHEST,1,18
XTHIRD,1,1
XLEAST,1,15
YHIGHEST,2,9
YLEAST,2,1
XLEAST,2,6
other,2,2
XHIGHEST,2,16
XFIFTH,2,10
YHIGHEST,3,9
YFIFTH,3,1
YLEAST,3,5
XLEAST,3,12
other,3,2
XHIGHEST,3,6
YSECOND,3,2
XSECOND,3,3
XFIFTH,3,3
YHIGHEST,4,5
YLEAST,4,10
YFIFTH,4,1
other,4,1
XHIGHEST,4,9
YSECOND,4,3
XSECOND,4,3
XLEAST,4,6
XFIFTH,4,4
YFOURTH,5,1
YHIGHEST,5,5
YLEAST,5,4
YFIFTH,5,8
other,5,3
XHIGHEST,5,3
XFOURTH,5,2
XTHIRD,5,2
XSECOND,5,2
YTHIRD,5,2
XFIFTH,5,5
YFOURTH,6,4
YHIGHEST,6,2
XLEAST,6,2
XHIGHEST,6,5
XFOURTH,6,1
XTHIRD,6,3
YSECOND,6,2
YFIFTH,6,3
XSECOND,6,1
YLEAST,6,1
YTHIRD,6,2
XFIFTH,6,7
YFOURTH,7,3
YFIFTH,7,2
other,7,1
XSECOND,7,1
XFOURTH,7,8
XTHIRD,7,3
YTHIRD,7,2
XFIFTH,7,5
YFOURTH,8,7
YSECOND,8,1
XLEAST,8,1
other,8,1
XFOURTH,8,4
XTHIRD,8,2
YTHIRD,8,4
YFIFTH,8,3
YFOURTH,9,3
YLEAST,9,3
XLEAST,9,4
XSECOND,9,2
XFOURTH,9,3
XTHIRD,9,3
YTHIRD,9,2
XFIFTH,9,1
YFOURTH,10,1
YSECOND,10,2
XLEAST,10,3
XSECOND,10,1
XFOURTH,10,3
XTHIRD,10,3
YLEAST,10,4
YTHIRD,10,3
YFIFTH,10,1
YHIGHEST,11,2
YSECOND,11,3
YFIFTH,11,5
XSECOND,11,1
YLEAST,11,3
XTHIRD,11,1
XLEAST,11,1
XFOURTH,11,1
YTHIRD,11,1
XFIFTH,11,2
YFOURTH,12,2
YHIGHEST,12,2
YFIFTH,12,1
YSECOND,12,2
XLEAST,12,2
XHIGHEST,12,3
YLEAST,12,1
XSECOND,12,3
XFIFTH,12,3
YHIGHEST,13,3
YSECOND,13,1
YFIFTH,13,1
other,13,1
XSECOND,13,1
XHIGHEST,13,2
XLEAST,13,1
XFIFTH,13,2
YHIGHEST,14,2
YLEAST,14,1
YFIFTH,14,2
other,14,2
XHIGHEST,14,2
XFIFTH,14,1
YHIGHEST,15,1
XFIFTH,15,1
XHIGHEST,15,2
YFIFTH,16,1
