Entity,Position,Count
XHIGHEST,1,20
YHIGHEST,1,1
XLEAST,1,1
XSECOND,1,1
XLEAST,2,10
YHIGHEST,2,4
XHIGHEST,2,2
XSECOND,2,6
YLEAST,2,1
XSECOND,3,14
YHIGHEST,3,1
XLEAST,3,2
other,3,3
YSECOND,3,1
XHIGHEST,3,2
XHIGHEST,4,9
YSECOND,4,3
XSECOND,4,1
other,4,3
XLEAST,4,4
YHIGHEST,4,1
YLEAST,4,1
YHIGHEST,5,7
XLEAST,5,4
other,5,1
YLEAST,5,3
XSECOND,5,5
XHIGHEST,5,1
XLEAST,6,3
YLEAST,6,5
XSECOND,6,3
other,6,3
YSECOND,6,1
YHIGHEST,6,2
XHIGHEST,6,1
YLEAST,7,4
YSECOND,7,2
XLEAST,7,5
XSECOND,7,1
XSECOND,8,1
XLEAST,8,3
YSECOND,8,2
YLEAST,8,3
other,8,1
YSECOND,9,1
YLEAST,9,3
XSECOND,9,1
XLEAST,9,1
YLEAST,10,1
other,11,1
XHIGHEST,12,1
