Entity,Position,Count
XHIGHEST,1,12
YHIGHEST,1,1
XLEAST,1,8
other,1,1
YLEAST,1,1
XLEAST,2,4
XHIGHEST,2,1
YHIGHEST,2,8
YLEAST,2,8
other,2,1
XSECOND,2,1
XSECOND,3,14
YSECOND,3,2
XLEAST,3,3
XHIGHEST,3,2
other,3,2
XHIGHEST,4,2
XSECOND,4,4
YLEAST,4,3
YSECOND,4,11
other,4,1
XLEAST,4,2
YHIGHEST,5,3
XLEAST,5,7
XSECOND,5,2
XHIGHEST,5,6
YLEAST,5,2
XLEAST,6,1
YLEAST,6,7
XHIGHEST,6,1
YHIGHEST,6,7
YSECOND,6,1
XSECOND,6,2
YLEAST,7,1
YSECOND,7,2
XSECOND,7,1
XHIGHEST,7,1
XSECOND,8,2
XLEAST,8,1
XHIGHEST,9,1
other,9,1
YLEAST,9,1
YSECOND,10,2
XHIGHEST,11,1
YHIGHEST,12,1
